Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
127,59,16/11/10-00:00:00,28.1,30.2,-12.0,20.5
128,59,16/11/10-00:05:00,28.1,30.2,-12.0,20.5
129,59,16/11/10-00:10:00,28.1,30.2,-12.0,20.5
130,59,16/11/10-00:15:00,28.1,30.2,-12.0,20.4
131,59,16/11/10-00:20:00,28.1,30.2,-12.0,20.5
132,59,16/11/10-00:25:00,28.1,30.2,-12.0,20.5
133,59,16/11/10-00:30:00,28.1,30.2,-12.0,20.5
134,59,16/11/10-00:35:00,28.1,30.2,-12.0,20.5
135,59,16/11/10-00:40:00,28.1,30.2,-12.0,20.5
136,59,16/11/10-00:45:00,28.1,30.2,-12.0,20.5
137,59,16/11/10-00:50:00,28.1,30.2,-12.0,20.5
138,59,16/11/10-00:55:00,28.1,30.2,-12.0,20.5
139,59,16/11/10-01:00:00,28.1,30.2,-12.0,20.5
140,59,16/11/10-01:05:00,28.1,30.2,-12.0,20.5
141,59,16/11/10-01:10:00,28.1,30.2,-12.0,20.5
142,59,16/11/10-01:15:00,28.1,30.2,-12.0,20.5
143,59,16/11/10-01:20:00,28.1,30.2,-12.0,20.5
144,59,16/11/10-01:25:00,28.1,30.2,-12.0,20.5
145,59,16/11/10-01:30:00,28.1,30.2,-12.0,20.5
146,59,16/11/10-01:35:00,28.1,30.2,-12.0,20.5
147,59,16/11/10-01:40:00,28.1,30.2,-12.0,20.5
148,59,16/11/10-01:45:00,28.1,30.2,-12.0,20.5
149,59,16/11/10-01:50:00,28.1,30.2,-12.0,20.5
150,59,16/11/10-01:55:00,28.1,30.2,-12.0,20.5
151,59,16/11/10-02:00:00,28.1,30.2,-12.0,20.5
152,59,16/11/10-02:05:00,28.1,30.2,-12.0,20.5
153,59,16/11/10-02:10:00,28.2,30.2,-12.0,20.5
154,59,16/11/10-02:15:00,28.2,30.2,-12.0,20.5
155,59,16/11/10-02:20:00,28.2,30.2,-12.0,20.5
156,59,16/11/10-02:25:00,28.2,30.2,-12.0,20.5
157,59,16/11/10-02:30:00,28.2,30.2,-12.0,20.5
158,59,16/11/10-02:35:00,28.3,30.3,-12.0,20.5
159,59,16/11/10-02:40:00,28.3,30.3,-12.0,20.5
160,59,16/11/10-02:45:00,28.3,30.3,-12.0,20.4
161,59,16/11/10-02:50:00,28.4,30.3,-12.0,20.5
162,59,16/11/10-02:55:00,28.4,30.4,-12.0,20.5
163,59,16/11/10-03:00:00,28.4,30.4,-12.0,20.5
164,59,16/11/10-03:05:00,28.4,30.4,-12.0,20.5
165,59,16/11/10-03:10:00,28.5,30.4,-12.0,20.4
166,59,16/11/10-03:15:00,28.5,30.5,-12.0,20.4
167,59,16/11/10-03:20:00,28.5,30.5,-12.0,20.4
168,59,16/11/10-03:25:00,28.5,30.5,-12.0,20.4
169,59,16/11/10-03:30:00,28.5,30.5,-12.0,20.4
170,59,16/11/10-03:35:00,28.5,30.5,-12.0,20.4
171,59,16/11/10-03:40:00,28.5,30.6,-12.0,20.5
172,59,16/11/10-03:45:00,28.3,30.5,-12.0,20.5
173,59,16/11/10-03:50:00,27.5,30.2,-12.0,20.5
174,59,16/11/10-03:55:00,27.1,29.9,-12.0,20.5
175,59,16/11/10-04:00:00,26.7,29.6,-12.0,20.5
176,59,16/11/10-04:05:00,26.4,29.4,-12.0,20.5
177,59,16/11/10-04:10:00,26.2,29.1,-12.0,20.5
178,59,16/11/10-04:15:00,26.0,28.9,-12.0,20.5
179,59,16/11/10-04:20:00,25.7,28.7,-12.0,20.5
180,59,16/11/10-04:25:00,25.6,28.4,-12.0,20.5
181,59,16/11/10-04:30:00,25.4,28.2,-12.0,20.5
182,59,16/11/10-04:35:00,25.3,28.1,-12.0,20.5
183,59,16/11/10-04:40:00,25.5,28.0,-12.0,20.5
184,59,16/11/10-04:45:00,25.6,28.0,-12.0,20.5
185,59,16/11/10-04:50:00,25.7,29.3,-12.0,20.4
186,59,16/11/10-04:55:00,25.9,28.8,-12.0,20.4
187,59,16/11/10-05:00:00,26.0,28.4,-12.0,20.4
188,59,16/11/10-05:40:00,26.9,27.8,-12.0,20.4
189,59,16/11/10-05:45:00,27.0,27.8,-12.0,20.4
190,59,16/11/10-05:50:00,27.1,27.9,-12.0,20.4
191,59,16/11/10-05:55:00,27.2,28.0,-12.0,20.4
192,59,16/11/10-06:00:00,27.3,28.1,-12.0,20.4
193,59,16/11/10-06:05:00,27.4,28.1,-12.0,20.4
194,59,16/11/10-06:10:00,27.5,28.1,-12.0,20.4
195,59,16/11/10-06:15:00,27.6,28.2,-12.0,20.4
196,59,16/11/10-06:20:00,27.6,28.2,-12.0,20.4
197,59,16/11/10-06:25:00,27.5,28.2,-12.0,20.4
198,59,16/11/10-06:30:00,27.4,28.1,-12.0,20.4
199,59,16/11/10-06:35:00,27.4,28.0,-12.0,20.4
200,59,16/11/10-06:40:00,27.3,28.0,-12.0,20.4
201,59,16/11/10-06:45:00,27.3,27.9,-12.0,20.4
202,59,16/11/10-06:50:00,27.2,27.9,-12.0,20.4
203,59,16/11/10-06:55:00,27.2,27.9,-12.0,20.4
204,59,16/11/10-07:00:00,27.2,27.9,-12.0,20.4
205,59,16/11/10-07:05:00,27.2,27.9,-12.0,20.4
206,59,16/11/10-07:10:00,27.1,27.9,-12.0,20.4
207,59,16/11/10-07:15:00,27.1,27.8,-12.0,20.4
208,59,16/11/10-07:20:00,27.1,27.8,-12.0,20.4
209,59,16/11/10-07:25:00,27.0,27.8,-12.0,20.4
210,59,16/11/10-07:30:00,26.9,27.7,-12.0,20.4
211,59,16/11/10-07:35:00,26.9,27.7,-12.0,20.4
212,59,16/11/10-07:40:00,26.9,27.7,-12.0,20.4
213,59,16/11/10-07:45:00,26.9,27.6,-12.0,20.4
214,59,16/11/10-07:50:00,26.9,27.6,-12.0,20.4
215,59,16/11/10-07:55:00,26.9,27.6,-12.0,20.4
216,59,16/11/10-08:00:00,26.9,27.7,-12.0,20.4
217,59,16/11/10-08:05:00,26.9,27.6,-12.0,20.4
218,59,16/11/10-08:10:00,26.8,27.6,-12.0,20.4
219,59,16/11/10-08:15:00,26.8,27.5,-12.0,20.4
220,59,16/11/10-08:20:00,26.7,27.5,-12.0,20.4
221,59,16/11/10-08:25:00,26.7,27.5,-12.0,20.4
222,59,16/11/10-08:30:00,26.7,27.4,-12.0,20.5
223,59,16/11/10-08:35:00,26.6,27.4,-12.0,20.5
224,59,16/11/10-08:40:00,26.6,27.4,-12.0,20.4
225,59,16/11/10-08:45:00,26.6,27.3,-12.0,20.4
226,59,16/11/10-08:50:00,26.5,27.3,-12.0,20.5
227,59,16/11/10-08:55:00,26.5,27.3,-12.0,20.5
228,59,16/11/10-09:00:00,26.6,27.3,-12.0,20.4
229,59,16/11/10-09:05:00,26.6,27.4,-12.0,20.4
230,59,16/11/10-09:10:00,26.6,27.4,-12.0,20.4
231,59,16/11/10-09:15:00,26.8,27.5,-12.0,20.4
232,59,16/11/10-09:20:00,26.7,27.5,-12.0,20.4
233,59,16/11/10-09:25:00,26.7,27.5,-12.0,20.4
234,59,16/11/10-09:30:00,26.7,27.4,-12.0,20.4
235,59,16/11/10-09:35:00,26.7,27.4,-12.0,20.4
