Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
1,59,16/11/09-13:30:00,27.0,31.0,-12.0,20.5
2,59,16/11/09-13:35:00,26.8,27.9,-12.0,20.5
3,59,16/11/09-13:40:00,26.7,27.7,-12.0,20.5
4,59,16/11/09-13:45:00,26.6,27.9,-12.0,20.5
5,59,16/11/09-13:50:00,26.6,28.0,-12.0,20.5
6,59,16/11/09-13:55:00,26.5,28.0,-12.0,20.5
7,59,16/11/09-14:00:00,26.4,28.0,-12.0,20.5
8,59,16/11/09-14:05:00,26.2,27.9,-12.0,20.5
9,59,16/11/09-14:10:00,26.1,27.9,-12.0,20.5
10,59,16/11/09-14:15:00,26.1,27.9,-12.0,20.5
11,59,16/11/09-14:20:00,26.0,27.8,-12.0,20.5
12,59,16/11/09-14:25:00,25.9,27.7,-12.0,20.5
13,59,16/11/09-14:30:00,25.8,27.6,-12.0,20.5
14,59,16/11/09-14:35:00,25.7,27.5,-12.0,20.5
15,59,16/11/09-14:40:00,25.8,27.5,-12.0,20.5
16,59,16/11/09-14:45:00,26.1,27.6,-12.0,20.5
17,59,16/11/09-14:50:00,26.3,27.7,-12.0,20.5
18,59,16/11/09-14:55:00,26.4,27.8,-12.0,20.5
19,59,16/11/09-15:00:00,26.5,28.0,-12.0,20.5
20,59,16/11/09-15:05:00,26.6,28.1,-12.0,20.5
21,59,16/11/09-15:10:00,26.7,28.2,-12.0,20.5
22,59,16/11/09-15:15:00,26.8,28.3,-12.0,20.5
23,59,16/11/09-15:20:00,26.8,28.4,-12.0,20.5
24,59,16/11/09-15:25:00,26.9,28.5,-12.0,20.5
25,59,16/11/09-15:30:00,27.0,28.6,-12.0,20.5
26,59,16/11/09-15:35:00,27.0,28.7,-12.0,20.5
27,59,16/11/09-15:40:00,27.1,28.8,-12.0,20.5
28,59,16/11/09-15:45:00,27.1,28.8,-12.0,20.5
29,59,16/11/09-15:50:00,27.2,28.9,-12.0,20.5
30,59,16/11/09-15:55:00,27.2,29.0,-12.0,20.5
31,59,16/11/09-16:00:00,27.3,29.0,-12.0,20.5
32,59,16/11/09-16:05:00,27.3,29.1,-12.0,20.5
33,59,16/11/09-16:10:00,27.3,29.2,-12.0,20.5
34,59,16/11/09-16:15:00,27.4,29.2,-12.0,20.5
