Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
425,58,16/11/02-00:00:00,19.9,-12.0,29.4,28.8
426,58,16/11/02-00:05:00,19.9,-12.0,29.4,28.9
427,58,16/11/02-00:10:00,19.9,-12.0,29.4,28.8
428,58,16/11/02-00:15:00,19.9,-12.0,29.4,28.8
429,58,16/11/02-00:20:00,19.9,-12.0,29.4,28.8
430,58,16/11/02-00:25:00,19.9,-12.0,29.4,28.8
431,58,16/11/02-00:30:00,19.9,-12.0,29.4,28.8
432,58,16/11/02-00:35:00,19.9,-12.0,29.4,28.8
433,58,16/11/02-00:40:00,19.9,-12.0,29.4,28.8
434,58,16/11/02-00:45:00,19.9,-12.0,29.4,28.8
435,58,16/11/02-00:50:00,19.9,-12.0,29.4,28.8
436,58,16/11/02-00:55:00,19.9,-12.0,29.4,28.8
437,58,16/11/02-01:00:00,19.9,-12.0,29.4,28.8
438,58,16/11/02-01:05:00,19.9,-12.0,29.4,28.8
439,58,16/11/02-01:10:00,19.9,-12.0,29.4,28.8
440,58,16/11/02-01:15:00,19.9,-12.0,29.4,28.8
441,58,16/11/02-01:20:00,20.0,-12.0,29.4,28.8
442,58,16/11/02-01:25:00,19.9,-12.0,29.4,28.8
443,58,16/11/02-01:30:00,19.9,-12.0,29.4,28.8
444,58,16/11/02-01:35:00,19.9,-12.0,29.4,28.8
445,58,16/11/02-01:40:00,20.0,-12.0,29.4,28.8
446,58,16/11/02-01:45:00,19.9,-12.0,29.4,28.8
447,58,16/11/02-01:50:00,19.9,-12.0,29.4,28.8
448,58,16/11/02-01:55:00,19.9,-12.0,29.4,28.8
449,58,16/11/02-02:00:00,20.0,-12.0,29.4,28.8
450,58,16/11/02-02:05:00,19.9,-12.0,29.4,28.8
451,58,16/11/02-02:10:00,19.9,-12.0,29.4,28.8
452,58,16/11/02-02:15:00,20.0,-12.0,29.4,28.8
453,58,16/11/02-02:20:00,20.0,-12.0,29.4,28.8
454,58,16/11/02-02:25:00,19.9,-12.0,29.4,28.8
455,58,16/11/02-02:30:00,19.9,-12.0,29.4,28.8
456,58,16/11/02-02:35:00,19.9,-12.0,29.4,28.8
457,58,16/11/02-02:40:00,19.9,-12.0,29.4,28.8
458,58,16/11/02-02:45:00,19.9,-12.0,29.4,28.8
459,58,16/11/02-02:50:00,19.9,-12.0,29.4,28.8
460,58,16/11/02-02:55:00,19.9,-12.0,29.4,28.9
461,58,16/11/02-03:00:00,19.9,-12.0,29.4,28.9
462,58,16/11/02-03:05:00,19.9,-12.0,29.4,28.9
463,58,16/11/02-03:10:00,19.9,-12.0,29.4,28.9
464,58,16/11/02-03:15:00,19.9,-12.0,29.4,28.9
465,58,16/11/02-03:20:00,19.9,-12.0,29.4,28.9
466,58,16/11/02-03:25:00,19.9,-12.0,29.4,28.9
467,58,16/11/02-03:30:00,19.9,-12.0,29.5,28.9
468,58,16/11/02-03:35:00,19.9,-12.0,29.5,29.0
469,58,16/11/02-03:40:00,19.9,-12.0,29.4,28.9
470,58,16/11/02-03:45:00,20.0,-12.0,29.3,28.6
471,58,16/11/02-03:50:00,20.0,-12.0,29.1,28.4
472,58,16/11/02-03:55:00,20.0,-12.0,29.0,28.2
473,58,16/11/02-04:00:00,20.0,-12.0,28.8,28.1
474,58,16/11/02-04:05:00,20.0,-12.0,28.7,27.9
475,58,16/11/02-04:10:00,20.0,-12.0,28.6,27.8
476,58,16/11/02-04:15:00,20.0,-12.0,28.4,27.7
477,58,16/11/02-04:20:00,20.0,-12.0,28.3,27.6
478,58,16/11/02-04:25:00,20.0,-12.0,28.2,27.5
479,58,16/11/02-04:30:00,20.0,-12.0,28.1,27.4
480,58,16/11/02-04:35:00,20.0,-12.0,28.0,27.3
481,58,16/11/02-04:40:00,20.0,-12.0,27.9,27.2
482,58,16/11/02-04:45:00,20.0,-12.0,27.8,27.1
483,58,16/11/02-04:50:00,20.0,-12.0,27.7,26.9
484,58,16/11/02-04:55:00,20.0,-12.0,27.7,26.9
485,58,16/11/02-05:00:00,20.0,-12.0,27.4,26.9
486,58,16/11/02-05:05:00,20.0,-12.0,27.3,26.8
487,58,16/11/02-05:10:00,20.0,-12.0,27.3,26.7
488,58,16/11/02-05:15:00,20.0,-12.0,27.3,26.8
489,58,16/11/02-05:20:00,20.0,-12.0,27.3,26.9
490,58,16/11/02-05:25:00,20.0,-12.0,27.4,26.9
491,58,16/11/02-05:30:00,20.0,-12.0,27.3,27.0
492,58,16/11/02-05:35:00,20.0,-12.0,27.3,26.8
493,58,16/11/02-05:40:00,20.0,-12.0,27.3,26.8
494,58,16/11/02-05:45:00,20.0,-12.0,27.3,26.8
495,58,16/11/02-05:50:00,20.0,-12.0,27.3,26.8
496,58,16/11/02-05:55:00,20.0,-12.0,27.2,26.8
497,58,16/11/02-06:00:00,20.0,-12.0,27.2,26.7
498,58,16/11/02-06:05:00,20.0,-12.0,27.2,26.7
499,58,16/11/02-06:10:00,20.0,-12.0,27.1,26.7
500,58,16/11/02-06:15:00,20.0,-12.0,27.1,26.7
501,58,16/11/02-06:20:00,20.0,-12.0,27.2,26.7
502,58,16/11/02-06:25:00,20.0,-12.0,27.1,26.7
503,58,16/11/02-06:30:00,20.0,-12.0,27.2,26.7
504,58,16/11/02-06:35:00,20.0,-12.0,27.2,26.7
505,58,16/11/02-06:40:00,20.0,-12.0,27.2,26.7
506,58,16/11/02-06:45:00,20.0,-12.0,27.2,26.7
507,58,16/11/02-06:50:00,20.0,-12.0,27.1,26.7
508,58,16/11/02-06:55:00,20.0,-12.0,27.1,26.6
509,58,16/11/02-07:00:00,20.0,-12.0,27.1,26.6
510,58,16/11/02-07:05:00,20.0,-12.0,27.1,26.6
511,58,16/11/02-07:10:00,20.0,-12.0,27.2,26.7
512,58,16/11/02-07:15:00,20.0,-12.0,27.1,26.6
513,58,16/11/02-07:20:00,20.0,-12.0,27.1,26.6
514,58,16/11/02-07:25:00,19.7,-12.0,27.1,26.7
515,58,16/11/02-07:30:00,19.7,-12.0,27.0,26.4
516,58,16/11/02-07:35:00,19.7,-12.0,27.0,26.4
517,58,16/11/02-07:40:00,19.7,-12.0,27.1,27.3
518,58,16/11/02-07:45:00,19.7,-12.0,27.1,26.7
519,58,16/11/02-07:50:00,19.7,-12.0,27.1,26.5
520,58,16/11/02-07:55:00,19.8,-12.0,26.9,26.4
521,58,16/11/02-08:00:00,19.8,-12.0,26.9,26.4
522,58,16/11/02-08:05:00,19.8,-12.0,26.8,26.3
523,58,16/11/02-08:10:00,19.8,-12.0,26.7,26.2
524,58,16/11/02-08:15:00,19.8,-12.0,26.7,26.2
525,58,16/11/02-08:20:00,19.8,-12.0,26.7,26.1
526,58,16/11/02-08:25:00,19.7,-12.0,26.6,26.1
527,58,16/11/02-08:30:00,19.8,-12.0,26.6,26.0
528,58,16/11/02-08:35:00,19.8,-12.0,26.6,26.0
529,58,16/11/02-08:40:00,19.7,-12.0,26.7,26.2
530,58,16/11/02-08:45:00,19.8,-12.0,26.7,26.3
531,58,16/11/02-08:50:00,19.8,-12.0,26.8,26.3
532,58,16/11/02-08:55:00,19.7,-12.0,26.8,26.4
533,58,16/11/02-09:00:00,19.7,-12.0,26.9,26.5
534,58,16/11/02-09:05:00,19.8,-12.0,26.9,26.4
535,58,16/11/02-09:10:00,19.8,-12.0,26.8,26.5
536,58,16/11/02-09:15:00,19.7,-12.0,27.0,26.7
537,58,16/11/02-09:20:00,19.7,-12.0,26.9,26.6
538,58,16/11/02-09:25:00,19.7,-12.0,27.0,26.7
539,58,16/11/02-09:30:00,19.7,-12.0,27.0,26.7
540,58,16/11/02-09:35:00,19.7,-12.0,27.0,26.8
541,58,16/11/02-09:40:00,19.7,-12.0,27.1,26.8
542,58,16/11/02-09:45:00,19.7,-12.0,27.1,26.8
543,58,16/11/02-09:50:00,19.7,-12.0,27.1,26.9
544,58,16/11/02-09:55:00,19.7,-12.0,27.1,26.9
545,58,16/11/02-10:00:00,19.7,-12.0,27.1,26.8
546,58,16/11/02-10:05:00,19.8,-12.0,27.0,26.7
547,58,16/11/02-10:10:00,19.7,-12.0,27.1,26.8
548,58,16/11/02-10:15:00,19.7,-12.0,27.3,26.9
549,58,16/11/02-10:20:00,19.7,-12.0,27.4,27.0
1,58,16/11/02-10:45:00,8989.0,8989.0,8989.0,8989.0
2,58,16/11/02-10:50:00,-11.9,20.4,8989.0,8989.0
3,58,16/11/02-10:55:00,-11.9,20.4,8989.0,8989.0
4,58,16/11/02-11:00:00,-11.9,20.4,8989.0,8989.0
5,58,16/11/02-11:05:00,-11.9,20.4,8989.0,8989.0
6,58,16/11/02-11:10:00,-11.9,20.4,8989.0,8989.0
7,58,16/11/02-11:15:00,-11.9,20.4,8989.0,8989.0
8,58,16/11/02-11:20:00,-11.9,20.4,8989.0,8989.0
9,58,16/11/02-11:25:00,-11.9,20.4,8989.0,8989.0
10,58,16/11/02-11:30:00,-11.9,20.4,8989.0,8989.0
11,58,16/11/02-11:35:00,-11.9,20.4,8989.0,8989.0
12,58,16/11/02-11:40:00,-11.9,20.4,8989.0,8989.0
13,58,16/11/02-11:45:00,-11.9,20.4,8989.0,8989.0
14,58,16/11/02-11:50:00,-11.9,20.4,8989.0,8989.0
15,58,16/11/02-11:55:00,-11.9,20.4,8989.0,8989.0
16,58,16/11/02-12:00:00,-11.9,20.4,8989.0,8989.0
17,58,16/11/02-12:05:00,-11.9,20.4,8989.0,8989.0
18,58,16/11/02-12:10:00,-11.9,20.4,8989.0,8989.0
19,58,16/11/02-12:15:00,-11.9,20.4,8989.0,8989.0
20,58,16/11/02-12:20:00,-11.9,20.4,8989.0,8989.0
21,58,16/11/02-12:25:00,-11.9,20.4,8989.0,8989.0
22,58,16/11/02-12:30:00,-11.9,20.4,8989.0,8989.0
23,58,16/11/02-12:35:00,-11.9,20.4,8989.0,8989.0
24,58,16/11/02-12:40:00,-11.9,20.4,8989.0,8989.0
25,58,16/11/02-12:45:00,-11.9,20.4,8989.0,8989.0
26,58,16/11/02-12:50:00,-11.9,20.4,8989.0,8989.0
27,58,16/11/02-12:55:00,-11.9,20.4,8989.0,8989.0
28,58,16/11/02-13:00:00,-11.9,20.4,8989.0,8989.0
29,58,16/11/02-13:05:00,-11.9,20.4,8989.0,8989.0
30,58,16/11/02-13:10:00,-11.9,20.4,8989.0,8989.0
31,58,16/11/02-13:15:00,-11.9,20.4,8989.0,8989.0
32,58,16/11/02-13:20:00,-11.9,20.4,8989.0,8989.0
33,58,16/11/02-13:25:00,-11.9,20.4,8989.0,8989.0
34,58,16/11/02-13:30:00,-11.9,20.4,8989.0,8989.0
35,58,16/11/02-13:35:00,-11.9,20.4,8989.0,8989.0
36,58,16/11/02-13:40:00,-11.9,20.4,8989.0,8989.0
37,58,16/11/02-13:45:00,-11.9,20.4,8989.0,8989.0
38,58,16/11/02-13:50:00,-11.9,20.4,8989.0,8989.0
39,58,16/11/02-13:55:00,-11.9,20.4,8989.0,8989.0
40,58,16/11/02-14:00:00,-11.9,20.4,8989.0,8989.0
41,58,16/11/02-14:05:00,-11.9,20.4,8989.0,8989.0
42,58,16/11/02-14:10:00,-11.9,20.4,8989.0,8989.0
43,58,16/11/02-14:15:00,-11.9,20.4,8989.0,8989.0
44,58,16/11/02-14:20:00,-11.9,20.4,8989.0,8989.0
45,58,16/11/02-14:25:00,-11.9,20.4,8989.0,8989.0
46,58,16/11/02-14:30:00,-11.9,20.4,8989.0,8989.0
47,58,16/11/02-14:35:00,-11.9,20.4,8989.0,8989.0
48,58,16/11/02-14:40:00,-11.9,20.4,8989.0,8989.0
49,58,16/11/02-14:45:00,-11.9,20.4,8989.0,8989.0
50,58,16/11/02-14:50:00,-11.9,20.4,8989.0,8989.0
51,58,16/11/02-14:55:00,-11.9,20.4,8989.0,8989.0
52,58,16/11/02-15:00:00,-11.9,20.4,8989.0,8989.0
53,58,16/11/02-15:05:00,-11.9,20.4,8989.0,8989.0
54,58,16/11/02-15:10:00,-11.9,20.4,8989.0,8989.0
55,58,16/11/02-15:15:00,-11.9,20.4,8989.0,8989.0
56,58,16/11/02-15:20:00,-11.9,20.4,8989.0,8989.0
57,58,16/11/02-15:25:00,-11.9,20.4,8989.0,8989.0
58,58,16/11/02-15:30:00,-11.9,20.4,8989.0,8989.0
59,58,16/11/02-15:35:00,-11.9,20.4,8989.0,8989.0
60,58,16/11/02-15:40:00,-11.9,20.4,8989.0,8989.0
61,58,16/11/02-15:45:00,-11.9,20.4,8989.0,8989.0
62,58,16/11/02-15:50:00,-11.9,20.4,8989.0,8989.0
63,58,16/11/02-15:55:00,-11.9,20.4,8989.0,8989.0
64,58,16/11/02-16:00:00,-11.9,20.4,8989.0,8989.0
65,58,16/11/02-16:05:00,-11.9,20.4,8989.0,8989.0
66,58,16/11/02-16:10:00,-11.9,20.4,8989.0,8989.0
67,58,16/11/02-16:15:00,-11.9,20.4,8989.0,8989.0
68,58,16/11/02-16:20:00,-11.9,20.4,8989.0,8989.0
69,58,16/11/02-16:25:00,-11.9,20.4,8989.0,8989.0
70,58,16/11/02-16:30:00,-11.9,20.4,8989.0,8989.0
71,58,16/11/02-16:35:00,-11.9,20.4,8989.0,8989.0
72,58,16/11/02-16:40:00,-11.9,20.4,8989.0,8989.0
73,58,16/11/02-16:45:00,-11.9,20.4,8989.0,8989.0
74,58,16/11/02-16:50:00,-11.9,20.4,8989.0,8989.0
75,58,16/11/02-16:55:00,-11.9,20.4,8989.0,8989.0
76,58,16/11/02-17:00:00,-11.9,20.4,8989.0,8989.0
77,58,16/11/02-17:05:00,-11.9,20.4,8989.0,8989.0
78,58,16/11/02-17:10:00,-11.9,20.4,8989.0,8989.0
79,58,16/11/02-17:15:00,-11.9,20.4,8989.0,8989.0
80,58,16/11/02-17:20:00,-11.9,20.4,8989.0,8989.0
81,58,16/11/02-17:25:00,-11.9,20.4,8989.0,8989.0
82,58,16/11/02-17:30:00,-11.9,20.4,8989.0,8989.0
83,58,16/11/02-17:35:00,-11.9,20.4,8989.0,8989.0
84,58,16/11/02-17:40:00,-11.9,20.4,8989.0,8989.0
85,58,16/11/02-17:45:00,-11.9,20.4,8989.0,8989.0
86,58,16/11/02-17:50:00,-11.9,20.4,8989.0,8989.0
87,58,16/11/02-17:55:00,-11.9,20.4,8989.0,8989.0
88,58,16/11/02-18:00:00,-11.9,20.4,8989.0,8989.0
89,58,16/11/02-18:05:00,-11.9,20.4,8989.0,8989.0
90,58,16/11/02-18:10:00,-11.9,20.4,8989.0,8989.0
91,58,16/11/02-18:15:00,-11.9,20.4,8989.0,8989.0
92,58,16/11/02-18:20:00,-11.9,20.4,8989.0,8989.0
93,58,16/11/02-18:25:00,-11.9,20.4,8989.0,8989.0
94,58,16/11/02-18:30:00,-11.9,20.4,8989.0,8989.0
95,58,16/11/02-18:35:00,-11.9,20.4,8989.0,8989.0
96,58,16/11/02-18:40:00,-11.9,20.4,8989.0,8989.0
97,58,16/11/02-18:45:00,-11.9,20.4,8989.0,8989.0
98,58,16/11/02-18:50:00,-11.9,20.4,8989.0,8989.0
99,58,16/11/02-18:55:00,-11.9,20.4,8989.0,8989.0
100,58,16/11/02-19:00:00,-11.9,20.4,8989.0,8989.0
101,58,16/11/02-19:05:00,-11.9,20.4,8989.0,8989.0
102,58,16/11/02-19:10:00,-11.9,20.4,8989.0,8989.0
103,58,16/11/02-19:15:00,-11.9,20.4,8989.0,8989.0
104,58,16/11/02-19:20:00,-11.9,20.4,8989.0,8989.0
105,58,16/11/02-19:25:00,-11.9,20.4,8989.0,8989.0
106,58,16/11/02-19:30:00,-11.9,20.4,8989.0,8989.0
107,58,16/11/02-19:35:00,-11.9,20.4,8989.0,8989.0
108,58,16/11/02-19:40:00,-11.9,20.4,8989.0,8989.0
109,58,16/11/02-19:45:00,-11.9,20.4,8989.0,8989.0
110,58,16/11/02-19:50:00,-11.9,20.4,8989.0,8989.0
111,58,16/11/02-19:55:00,-11.9,20.4,8989.0,8989.0
112,58,16/11/02-20:00:00,-11.9,20.4,8989.0,8989.0
113,58,16/11/02-20:05:00,-11.9,20.4,8989.0,8989.0
114,58,16/11/02-20:10:00,-11.9,20.4,8989.0,8989.0
115,58,16/11/02-20:15:00,-11.9,20.4,8989.0,8989.0
116,58,16/11/02-20:20:00,-11.9,20.4,8989.0,8989.0
117,58,16/11/02-20:25:00,-11.9,20.4,8989.0,8989.0
118,58,16/11/02-20:30:00,-11.9,20.4,8989.0,8989.0
119,58,16/11/02-20:35:00,-11.9,20.4,8989.0,8989.0
120,58,16/11/02-20:40:00,-11.9,20.4,8989.0,8989.0
121,58,16/11/02-20:45:00,-11.9,20.4,8989.0,8989.0
122,58,16/11/02-20:50:00,-11.9,20.4,8989.0,8989.0
123,58,16/11/02-20:55:00,-11.9,20.4,8989.0,8989.0
124,58,16/11/02-21:00:00,-11.9,20.4,8989.0,8989.0
125,58,16/11/02-21:05:00,-11.9,20.4,8989.0,8989.0
126,58,16/11/02-21:10:00,-11.9,20.4,8989.0,8989.0
127,58,16/11/02-21:15:00,-11.9,20.4,8989.0,8989.0
128,58,16/11/02-21:20:00,-11.9,20.4,8989.0,8989.0
129,58,16/11/02-21:25:00,-11.9,20.4,8989.0,8989.0
130,58,16/11/02-21:30:00,-11.9,20.4,8989.0,8989.0
131,58,16/11/02-21:35:00,-11.9,20.4,8989.0,8989.0
132,58,16/11/02-21:40:00,-11.9,20.4,8989.0,8989.0
133,58,16/11/02-21:45:00,-11.9,20.4,8989.0,8989.0
134,58,16/11/02-21:50:00,-11.9,20.4,8989.0,8989.0
135,58,16/11/02-21:55:00,-11.9,20.4,8989.0,8989.0
136,58,16/11/02-22:00:00,-11.9,20.4,8989.0,8989.0
137,58,16/11/02-22:05:00,-11.9,20.4,8989.0,8989.0
138,58,16/11/02-22:10:00,-11.9,20.4,8989.0,8989.0
139,58,16/11/02-22:15:00,-11.9,20.4,8989.0,8989.0
140,58,16/11/02-22:20:00,-11.9,20.4,8989.0,8989.0
141,58,16/11/02-22:25:00,-11.9,20.4,8989.0,8989.0
142,58,16/11/02-22:30:00,-11.9,20.4,8989.0,8989.0
143,58,16/11/02-22:35:00,-11.9,20.4,8989.0,8989.0
144,58,16/11/02-22:40:00,-11.9,20.4,8989.0,8989.0
145,58,16/11/02-22:45:00,-11.9,20.4,8989.0,8989.0
146,58,16/11/02-22:50:00,-11.9,20.4,8989.0,8989.0
147,58,16/11/02-22:55:00,-11.9,20.4,8989.0,8989.0
148,58,16/11/02-23:00:00,-11.9,20.4,8989.0,8989.0
149,58,16/11/02-23:05:00,-11.9,20.4,8989.0,8989.0
150,58,16/11/02-23:10:00,-11.9,20.4,8989.0,8989.0
151,58,16/11/02-23:15:00,-11.9,20.4,8989.0,8989.0
152,58,16/11/02-23:20:00,-11.9,20.4,8989.0,8989.0
153,58,16/11/02-23:25:00,-11.9,20.4,8989.0,8989.0
154,58,16/11/02-23:30:00,-11.9,20.4,8989.0,8989.0
155,58,16/11/02-23:35:00,-11.9,20.4,8989.0,8989.0
156,58,16/11/02-23:40:00,-11.9,20.4,8989.0,8989.0
157,58,16/11/02-23:45:00,-11.9,20.4,8989.0,8989.0
158,58,16/11/02-23:50:00,-11.9,20.4,8989.0,8989.0
159,58,16/11/02-23:55:00,-11.9,20.4,8989.0,8989.0
