Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
178,58,16/11/04-00:00:00,71.2,102.5,-8989.0,-8989.0
179,58,16/11/04-00:05:00,71.2,102.5,-8989.0,-8989.0
180,58,16/11/04-00:10:00,71.2,102.5,-8989.0,-8989.0
181,58,16/11/04-00:15:00,71.2,102.5,-8989.0,-8989.0
182,58,16/11/04-00:20:00,71.2,102.5,-8989.0,-8989.0
183,58,16/11/04-00:25:00,71.2,102.5,-8989.0,-8989.0
184,58,16/11/04-00:30:00,71.2,102.5,-8989.0,-8989.0
185,58,16/11/04-00:35:00,71.2,102.6,-8989.0,-8989.0
186,58,16/11/04-00:40:00,71.2,102.5,-8989.0,-8989.0
187,58,16/11/04-00:45:00,71.3,102.5,-8989.0,-8989.0
188,58,16/11/04-00:50:00,71.2,102.5,-8989.0,-8989.0
189,58,16/11/04-00:55:00,71.2,102.5,-8989.0,-8989.0
190,58,16/11/04-01:00:00,71.2,102.5,-8989.0,-8989.0
191,58,16/11/04-01:05:00,71.3,102.5,-8989.0,-8989.0
192,58,16/11/04-01:10:00,71.2,102.5,-8989.0,-8989.0
193,58,16/11/04-01:15:00,71.2,102.5,-8989.0,-8989.0
194,58,16/11/04-01:20:00,71.2,102.5,-8989.0,-8989.0
195,58,16/11/04-01:25:00,71.2,102.5,-8989.0,-8989.0
196,58,16/11/04-01:30:00,71.1,102.5,-8989.0,-8989.0
197,58,16/11/04-01:35:00,71.2,102.5,-8989.0,-8989.0
198,58,16/11/04-01:40:00,71.2,102.5,-8989.0,-8989.0
199,58,16/11/04-01:45:00,71.3,102.6,-8989.0,-8989.0
200,58,16/11/04-01:50:00,71.2,102.6,-8989.0,-8989.0
201,58,16/11/04-01:55:00,71.2,102.6,-8989.0,-8989.0
202,58,16/11/04-02:00:00,71.2,102.5,-8989.0,-8989.0
203,58,16/11/04-02:05:00,71.2,102.6,-8989.0,-8989.0
204,58,16/11/04-02:10:00,71.2,102.6,-8989.0,-8989.0
205,58,16/11/04-02:15:00,71.2,102.6,-8989.0,-8989.0
206,58,16/11/04-02:20:00,71.3,102.6,-8989.0,-8989.0
207,58,16/11/04-02:25:00,71.3,102.6,-8989.0,-8989.0
208,58,16/11/04-02:30:00,71.2,102.6,-8989.0,-8989.0
209,58,16/11/04-02:35:00,71.3,102.6,-8989.0,-8989.0
210,58,16/11/04-02:40:00,71.3,102.6,-8989.0,-8989.0
211,58,16/11/04-02:45:00,71.3,102.6,-8989.0,-8989.0
