Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
1330,59,16/11/08-00:00:00,-11.9,28.7,20.5,8989.0
1331,59,16/11/08-00:05:00,-11.9,28.7,20.5,8989.0
1332,59,16/11/08-00:10:00,-11.9,28.7,20.5,8989.0
1333,59,16/11/08-00:15:00,-11.9,28.7,20.5,8989.0
1334,59,16/11/08-00:20:00,-11.9,28.7,20.5,8989.0
1335,59,16/11/08-00:25:00,-11.9,28.7,20.5,8989.0
1336,59,16/11/08-00:30:00,-11.9,28.7,20.5,8989.0
1337,59,16/11/08-00:35:00,-11.9,28.7,20.5,8989.0
1338,59,16/11/08-00:40:00,-11.9,28.7,20.5,8989.0
1339,59,16/11/08-00:45:00,-11.9,28.7,20.5,8989.0
1340,59,16/11/08-00:50:00,-11.9,28.7,20.5,8989.0
1341,59,16/11/08-00:55:00,-11.9,28.7,20.5,8989.0
1342,59,16/11/08-01:00:00,-11.9,28.7,20.5,8989.0
1343,59,16/11/08-01:05:00,-11.9,28.7,20.5,8989.0
1344,59,16/11/08-01:10:00,-11.9,28.7,20.5,8989.0
1345,59,16/11/08-01:15:00,-11.9,28.7,20.5,8989.0
1346,59,16/11/08-01:20:00,-11.9,28.7,20.5,8989.0
1347,59,16/11/08-01:25:00,-11.9,28.8,20.5,8989.0
1348,59,16/11/08-01:30:00,-11.9,28.8,20.5,8989.0
1349,59,16/11/08-01:35:00,-11.9,28.8,20.5,8989.0
1350,59,16/11/08-01:40:00,-11.9,28.8,20.5,8989.0
1351,59,16/11/08-01:45:00,71.3,114.7,369.1,-8989.0
1352,59,16/11/08-01:50:00,71.3,114.7,369.1,-8989.0
1353,59,16/11/08-01:55:00,71.3,114.7,369.1,-8989.0
1354,59,16/11/08-02:00:00,71.3,114.7,369.2,-8989.0
1355,59,16/11/08-02:05:00,71.4,114.6,369.3,-8989.0
1356,59,16/11/08-02:10:00,71.3,114.8,369.3,-8989.0
1357,59,16/11/08-02:15:00,71.3,114.8,369.3,-8989.0
1358,59,16/11/08-02:20:00,71.3,114.8,369.2,-8989.0
1359,59,16/11/08-02:25:00,71.4,114.8,369.4,-8989.0
1360,59,16/11/08-02:30:00,71.3,114.8,369.3,-8989.0
1361,59,16/11/08-02:35:00,71.3,114.8,369.3,-8989.0
1362,59,16/11/08-02:40:00,71.4,114.9,369.4,-8989.0
1363,59,16/11/08-02:45:00,71.4,114.9,369.5,-8989.0
1364,59,16/11/08-02:50:00,71.4,114.9,369.4,-8989.0
1365,59,16/11/08-02:55:00,5.0,46.4,88.8,-8989.0
1366,59,16/11/08-03:00:00,5.0,46.4,88.8,-8989.0
1367,59,16/11/08-03:05:00,-7.4,33.6,39.2,-8989.0
1368,59,16/11/08-03:10:00,-7.4,33.7,39.2,-8989.0
1369,59,16/11/08-03:15:00,-7.4,33.7,39.2,-8989.0
1370,59,16/11/08-03:20:00,-7.4,33.7,39.2,-8989.0
1371,59,16/11/08-03:25:00,-7.4,33.7,39.2,-8989.0
1372,59,16/11/08-03:30:00,-7.4,33.7,39.2,-8989.0
1373,59,16/11/08-03:35:00,-7.4,33.7,39.2,-8989.0
1374,59,16/11/08-03:40:00,-7.4,33.7,39.2,-8989.0
1375,59,16/11/08-03:45:00,-7.4,33.7,39.2,-8989.0
1376,59,16/11/08-03:50:00,-7.4,33.6,39.2,-8989.0
1377,59,16/11/08-03:55:00,-7.4,33.4,39.2,-8989.0
1378,59,16/11/08-04:00:00,-7.4,33.1,39.2,-8989.0
1379,59,16/11/08-04:05:00,-7.4,33.0,39.2,-8989.0
1380,59,16/11/08-04:10:00,-7.4,32.8,39.2,-8989.0
1381,59,16/11/08-04:15:00,-7.4,32.7,39.1,-8989.0
1382,59,16/11/08-04:20:00,-7.4,32.5,39.1,-8989.0
1383,59,16/11/08-04:25:00,-7.4,32.4,39.1,-8989.0
1384,59,16/11/08-04:30:00,-7.4,32.3,39.1,-8989.0
1385,59,16/11/08-04:35:00,-7.4,32.1,39.1,-8989.0
1386,59,16/11/08-04:40:00,-7.4,31.9,39.1,-8989.0
1387,59,16/11/08-04:45:00,-7.4,31.8,39.1,-8989.0
1388,59,16/11/08-04:50:00,-7.4,31.8,39.1,-8989.0
1389,59,16/11/08-04:55:00,-7.4,31.7,39.1,-8989.0
1390,59,16/11/08-05:00:00,-7.4,31.6,39.1,-8989.0
1391,59,16/11/08-05:05:00,-7.4,31.5,39.1,-8989.0
1392,59,16/11/08-05:10:00,-7.4,31.6,39.1,-8989.0
1393,59,16/11/08-05:15:00,-7.4,31.5,39.1,-8989.0
1394,59,16/11/08-05:20:00,-7.4,31.5,39.1,-8989.0
1395,59,16/11/08-05:25:00,-7.4,31.4,39.1,-8989.0
1396,59,16/11/08-05:30:00,-7.4,31.4,39.1,-8989.0
1397,59,16/11/08-05:35:00,-7.4,31.4,39.1,-8989.0
1398,59,16/11/08-05:40:00,-7.4,31.4,39.1,-8989.0
1399,59,16/11/08-05:45:00,-7.4,31.5,39.1,-8989.0
1400,59,16/11/08-05:50:00,-7.4,31.4,39.1,-8989.0
1401,59,16/11/08-05:55:00,-7.4,31.4,39.1,-8989.0
1402,59,16/11/08-06:00:00,-7.4,31.4,39.1,-8989.0
1403,59,16/11/08-06:05:00,-7.4,31.4,39.1,-8989.0
1404,59,16/11/08-06:10:00,-7.4,31.4,39.1,-8989.0
1405,59,16/11/08-06:15:00,-7.4,31.4,39.1,-8989.0
1406,59,16/11/08-06:20:00,-7.4,31.4,39.1,-8989.0
1407,59,16/11/08-06:25:00,-7.4,31.4,39.1,-8989.0
1408,59,16/11/08-06:30:00,-7.4,31.4,39.1,-8989.0
1409,59,16/11/08-06:35:00,-7.4,31.4,39.1,-8989.0
1410,59,16/11/08-06:40:00,-7.4,31.3,39.1,-8989.0
1411,59,16/11/08-06:45:00,-7.4,31.4,39.1,-8989.0
1412,59,16/11/08-06:50:00,-7.4,31.4,39.1,-8989.0
1413,59,16/11/08-06:55:00,-7.4,31.4,39.1,-8989.0
1414,59,16/11/08-07:00:00,-7.4,31.4,39.1,-8989.0
1415,59,16/11/08-07:05:00,-7.4,31.4,39.1,-8989.0
1416,59,16/11/08-07:10:00,-7.4,31.4,39.1,-8989.0
1417,59,16/11/08-07:15:00,-7.4,31.4,39.1,-8989.0
1418,59,16/11/08-07:20:00,-7.4,31.3,39.1,-8989.0
1419,59,16/11/08-07:25:00,-7.4,31.3,39.1,-8989.0
1420,59,16/11/08-07:30:00,-7.4,31.3,39.1,-8989.0
1421,59,16/11/08-07:35:00,-7.4,31.3,39.1,-8989.0
1422,59,16/11/08-07:40:00,-7.4,31.3,39.1,-8989.0
1423,59,16/11/08-07:45:00,-7.4,31.3,39.1,-8989.0
1424,59,16/11/08-07:50:00,-7.4,31.3,39.1,-8989.0
1425,59,16/11/08-07:55:00,-7.4,31.2,39.1,-8989.0
1426,59,16/11/08-08:00:00,-7.4,31.3,39.1,-8989.0
1427,59,16/11/08-08:05:00,-7.4,31.2,39.1,-8989.0
1428,59,16/11/08-08:10:00,-7.4,31.2,39.1,-8989.0
1429,59,16/11/08-08:15:00,-7.4,31.2,39.1,-8989.0
1430,59,16/11/08-08:20:00,-7.4,31.1,39.1,-8989.0
1431,59,16/11/08-08:25:00,-7.4,31.1,39.1,-8989.0
1432,59,16/11/08-08:30:00,-7.4,31.0,39.1,-8989.0
1433,59,16/11/08-08:35:00,-7.4,30.9,39.1,-8989.0
1434,59,16/11/08-08:40:00,-7.4,31.0,39.1,-8989.0
1435,59,16/11/08-08:45:00,-7.4,31.0,39.1,-8989.0
1436,59,16/11/08-08:50:00,-7.4,31.0,39.1,-8989.0
1437,59,16/11/08-08:55:00,-7.4,30.8,39.1,-8989.0
1438,59,16/11/08-09:00:00,-7.4,30.9,39.1,-8989.0
1439,59,16/11/08-09:05:00,-7.4,30.8,39.1,-8989.0
1440,59,16/11/08-09:10:00,-7.4,30.8,39.1,-8989.0
1441,59,16/11/08-09:15:00,-7.4,30.8,39.1,-8989.0
1442,59,16/11/08-09:20:00,-7.4,30.8,39.1,-8989.0
1443,59,16/11/08-09:25:00,-7.4,30.8,39.1,-8989.0
1444,59,16/11/08-09:30:00,-7.4,30.8,39.1,-8989.0
1445,59,16/11/08-09:35:00,-7.4,30.8,39.1,-8989.0
1446,59,16/11/08-09:40:00,-7.4,30.8,39.1,-8989.0
1447,59,16/11/08-09:45:00,-7.4,30.8,39.1,-8989.0
1448,59,16/11/08-09:50:00,-7.4,30.7,39.1,-8989.0
1449,59,16/11/08-09:55:00,-7.4,30.7,39.1,-8989.0
1450,59,16/11/08-10:00:00,-7.4,30.7,39.1,-8989.0
1451,59,16/11/08-10:05:00,-7.4,30.7,39.1,-8989.0
1452,59,16/11/08-10:10:00,-7.4,30.7,39.1,-8989.0
